D00217,CC(=O)Nc1ccc(O)cc1
D01256,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C3CC4CC3C=C4)cc1Cl
D00380,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
D00383,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(=O)O
D00387,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12
D02321,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24
D02323,COc1ccc2c(cccc2c1C(F)(F)F)C(=S)N(C)CC(=O)O
D02328,OC(=O)CC1=NN(Cc2nc3cc(ccc3s2)C(F)(F)F)C(=O)c4ccccc14
D00032,N[C@@H](Cc1c[nH]cn1)C(=O)O
D00037,OC(=O)CC(O)(CC(=O)O)C(=O)O
D00036,NC(=O)c1cccnc1
D00035,OC(=O)[C@@H]1CCCN1
D00039,CC(C)[C@H](N)C(=O)O
D00038,OC(=O)c1ccccc1
D00810,C[N+](C)(C)CCO.Oc1ccccc1C(=O)[O-]
D00813,NC(CO)(CO)CO.OC(=O)C1CCn2c1ccc2C(=O)c3ccccc3
D00139,COc1c2OC(=O)C=Cc2cc3ccoc13
D00132,CC(C(=O)O)c1cccc(c1)C(=O)c2ccccc2
D00421,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O
D00130,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F
D00423,NC(=O)c1ncn(n1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O
D00136,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
D00425,COc1ccc2cc(CCC(=O)C)ccc2c1
D03034,OC(=O)CCCCCCCC(=O)O
D00007,N[C@@H](CCC(=O)O)C(=O)O
D00045,Nc1ncnc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
D00043,CC(C)OP(=O)(F)OC(C)C
D00041,C[C@@H](O)[C@H](N)C(=O)O
D00726,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
D00049,OC(=O)c1cccnc1
D03788,CC(C)(C)C(=O)Oc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)O
D03784,Cl.Clc1cccc(c1)C(c2ccc3[nH]cnc3c2)n4ccnc4
D00964,N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3
D01690,COc1ccc(cc1OC)C(=O)N2CCN(CC2)c3ccc4NC(=O)CCc4c3
D03767,[Ca+2].C[C@H](CSC(=O)c1ccccc1)C(=O)N2C[C@H](C[C@H]2C(=O)[O-])Sc3ccccc3.C[C@H](CSC(=O)c4ccccc4)C(=O)N5C[C@H](C[C@H]5C(=O)[O-])Sc6ccccc6
D03765,Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3
D03763,C[C@H](CSC(=O)C(C)(C)C)C(=O)N(CC(=O)O)C1CCCC1
D03760,CCOC(=O)[C@H](C)C[C@@H](C)C(=O)N1[C@@H](Cc2ccccc12)C(=O)O
D03769,O.O.C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O
D00188,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)CCC3=C)\CCC[C@]12C
D00183,CCN1C=C(C(=O)O)C(=O)c2ccc(C)nc12
D00107,O.CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@H]([C@H](C[C@@H](C)C\C(=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)\C)OC)[C@H](C[C@H]4C)OC
D00187,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\CC(O)CCC3=C)\CCC[C@]12C
D00186,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
D00185,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O
D00184,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
D00131,CCN(CC)C(=S)SSC(=S)N(CC)CC
D01211,[Ca+2].Nc1nc(O)c2N(C=O)C(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])CNc2n1
D00340,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl
D00342,OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(I)C(=O)NC2=O
D03712,CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)OCC3CC3
D03710,Cc1ccc(cn1)c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)C
D03717,[Na+].CCC(=O)[N-]S(=O)(=O)c1ccc(cc1)c2c(C)onc2c3ccccc3
D03716,CCC(=O)NS(=O)(=O)c1ccc(cc1)c2c(C)onc2c3ccccc3
D01582,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3
D01198,COc1ccc(CNCC(O)COc2ccc3nc(O)ccc3c2)cc1OC
D01196,[Na+].CC(=O)Nc1nnc(s1)S(=O)(=O)[NH-]
D03365,CN1CCC[C@H]1c2cccnc2
D02368,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F
D01840,Cl.O=S(=O)(N1CCCNCC1)c2cccc3cnccc23
D01842,NC(=O)[C@@H]1C[C@]2(NC(=O)NC2=O)c3cc(F)ccc3O1
D01966,O[C@@H](CC[C@@H]1[C@H](N(C1=O)c2ccc(F)cc2)c3ccc(O)cc3)c4ccc(F)cc4
D05407,Nc1nc(O)c2ncn(CCC(CO)CO)c2n1
D00505,NNCCc1ccccc1.OS(=O)(=O)O
D00503,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1
D02441,CCOc1ccc2nc(sc2c1)S(=O)(=O)N
D00501,CN1C(=O)N(CCCCC(=O)C)C(=O)c2c1ncn2C
D00463,OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3
D01364,CC1=CC(=O)N(O)C(=C1)C2CCCCC2.NCCO
D01367,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)C)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14
D01441,CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1.CS(=O)(=O)O
D02566,CNCCC[C@@]12CC[C@@H](c3ccccc13)c4ccccc24
D02564,Cl.CN(CC#C)Cc1ccccc1
D02563,COC[C@H]1CN(C(=O)O1)c2ccc(OCC[C@@H](O)C(F)(F)F)cc2
D02562,CS(=O)(=O)O.C#CCN[C@@H]1CCc2ccccc12
D02561,Clc1ccc(cc1)C(=O)NCCN2CCOCC2
D02560,COc1cc(Br)c2oc(cc2c1)C3CCNCC3
D02214,Cl.COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
D00488,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2
D01981,CCOC(=O)CN[C@H](C1CCCCC1)C(=O)N2CC[C@H]2C(=O)NCc3ccc(cc3)\C(=N/O)\N
D00762,C[C@](N)(Cc1ccc(O)cc1)C(=O)O
D00513,CC(C)NCC(O)COc1cccc2[nH]ccc12
D00160,NCCCCCC(=O)O
D02289,C[C@H]1C[C@H]2[C@@H]3CC[C@H](C(=O)C)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)CCC(=O)C=C14
D00002,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O
D00169,O.[Na+].Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl
D00168,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O
D00005,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)n5cnc6c(N)ncnc56)c2cc1C
D01064,CN(Cc1ccc2NC(=NC(=O)c2c1)C)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
D01061,O.O.O.Cl.CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)[C@@](O)(CC)C(=O)OC4
D01688,C\C(=C/c1ccccc1)\C=C\2/SC(=S)N(CC(=O)O)C2=O
D03728,O.NC(=N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C4CC4)C1
D01332,CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1.OC(=O)\C=C\C(=O)O
D03720,CN1C(=O)C=C(c2cccc(Cl)c2)c3cc(ccc13)[C@](N)(c4ccc(Cl)cc4)c5cncn5C
D03689,COc1ccc(cc1F)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)F
D00300,CN(C)CCOC(c1ccccc1)c2ccccc2
D03816,[Ca+2].CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@@H]12.CCC(C)(C)C(=O)O[C@H]3C[C@@H](C)C=C4C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@@H]34
D01397,CCOC(=O)OC(C)OC1=C(N(C)S(=O)(=O)c2ccccc12)C(=O)Nc3ccccn3
D01665,OCC(CO)NC1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
D01667,Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C2Cc3ccccc3C2
D03208,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)C(C)C)ccc1OC
D00394,CC(CN(C)C)CN1c2ccccc2CCc3ccccc13
D01097,Cl.NCCNC(=O)c1ccc(Cl)cn1
D01547,CC(C(=O)O)c1ccc2Sc3ccccc3C(=O)Cc2c1
D03433,Cl.CCCC(=O)O[C@H]1CN2CC[C@H](O)[C@@H]2[C@@H](O)[C@@H]1O
D04028,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
D00622,[Na+].CCC(=O)O[C@@H](O[P@](=O)(CCCCc1ccccc1)CC(=O)N2C[C@@H](C[C@H]2C(=O)[O-])C3CCCCC3)C(C)C
D01325,CC(C(=O)O)c1ccc(s1)C(=O)c2ccccc2
D00549,CC(C)c1cccc(C(C)C)c1O
D00621,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O.OC(=O)\C=C/C(=O)O
D00624,CCC[C@H](N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O)C(=O)OCC.CC(C)(C)N
D00625,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
D00543,FC(F)OC(F)(F)C(F)Cl
D00234,COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1
D00231,NC1=CC(=CNC1=O)c2ccncc2
D00546,FC(F)OC(F)C(F)(F)F
D00545,FC(F)OC(Cl)C(F)(F)F
D00544,COC(F)(F)C(Cl)Cl
D03440,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2CCC[C@H]2C(=O)O
D01718,COc1ccc(cc1)c2noc(CC(=O)O)c2c3ccc(OC)cc3
D01715,CCCCCOc1ccc(cc1OCC)C2SC(=O)NC2=O
D01240,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](C)O3)[C@@H](C)O2)O[C@H]5CC[C@@]6(C)[C@H](CC[C@@H]7[C@@H]6C[C@@H](O)[C@]8(C)[C@H](CC[C@]78O)C9=CC(=O)OC9)C5
D02315,CCCCCCCC\C=C/CCCCCCCC(=O)O
D00451,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
D00437,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C
D00434,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
D00947,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2
D01432,O.O.CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4c3nc5cc(F)c(C)c6CC[C@H](N)c4c56)C2=O.CS(=O)(=O)O
D00283,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
D00829,O.Cl.NCCCC(N)(C(F)F)C(=O)O
D00538,OS(=N)(=O)Cc1noc2ccccc12
D02418,CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1.OC(=O)c4ccccc4O
D00536,NC(=O)OCC(COC(=O)N)c1ccccc1
D00120,C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1
D00535,NC(CCC(=O)O)C=C
D02008,CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c5ccc6OCOc6c5)C1=O
D02176,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
D00530,CCN(C(=O)C)c1cccc(c1)c2ccnc3c(cnn23)C#N
D02559,Cc1cccc(c1)N2CC(CO)OC2=O
D00377,Nc1ccc(O)c(c1)C(=O)O
D02308,OC(=O)\C=C\C(=O)O
D00055,OC(=O)C1=CC(=O)NC(=O)N1
D00054,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3C(=O)NC=Nc23
D00050,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
D00052,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
D00752,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCC(=O)OCCN3CCOCC3
D00753,CO[C@@H]1C[C@H](C[C@@H](C)C2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1O
D04092,CCC(N)Cc1c[nH]c2ccccc12.CC(=O)O
D01119,Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CS[C@@H](CN(CC(=O)O)C2=O)c3cccs3
D01118,Cl.CCN(CC)C(C)CN1c2ccccc2Sc3ccccc13
D02709,Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N
D03798,OC1=C(CC2=C(O)c3ccccc3OC2=O)C(=O)Oc4ccccc14
D03775,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3
D03773,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2Cc3ccccc3C[C@H]2C(=O)O
D03772,OC(=O)[C@@H]1C[C@H](CN1C(=O)CP(=O)(O)CCCCc2ccccc2)C3CCCCC3
D00270,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
D04024,O.Cc1ccc(cc1)S(=O)(=O)O.Cc2ccc(cc2)S(=O)(=O)O.CS(=O)(=O)CCNCc3oc(cc3)c4ccc5ncnc(Nc6ccc(OCc7cccc(F)c7)c(Cl)c6)c5c4
D00274,COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC
D00279,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
D04029,Cl.CN(C)Cc1nccn1c2ccc(NC(=O)c3cc(nn3c4ccc5onc(N)c5c4)C(F)(F)F)c(F)c2
D02671,CN1CCCCC1CCN2c3ccccc3Sc4ccc(cc24)[S+](C)[O-]
D01549,Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@@H](CN(C)C2=O)C(=O)O
D00371,CN1C(=O)N(C)c2nc[nH]c2C1=O
D03845,Cl.CC(C)CN[C@H]1CCS(=O)(=O)c2sc(cc12)S(=O)(=O)N
D02173,Br.COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24
D02194,[Na+].CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(=O)O)\C(=O)[O-]
D02193,[I-].CCOP(=O)(OCC)SCC[N+](C)(C)C
D01973,Br.CN1CCC[C@@H]1Cc2c[nH]c3ccc(CCS(=O)(=O)c4ccccc4)cc23
D00805,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
D01974,Cc1oc(c2ccc(c(F)c2)S(=O)(=O)N)c(n1)C3CCCCC3
D01977,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4
D00086,OC(=O)CCCCC1CCSS1
D00970,[Na+].COc1ccc2cc(ccc2c1)[C@H](C)C(=O)[O-]
D00417,CC1=C(C=C(C#N)C(=O)N1)c2ccncc2
D01475,CC(OC(=O)C)OC(=O)C(C)c1ccc(c(F)c1)c2ccccc2
D02451,Cl.N#Cc1ccc(cc1)C2CCCc3cncn23
D00577,CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2
D00574,CCC1(CCC(=O)NC1=O)c2ccc(N)cc2
D00579,[Na+].[Na+].[Na+].[O-]C(=O)P(=O)([O-])[O-]
D00475,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O
D00142,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
