D06172,CC(N)C(=O)Nc1c(C)cccc1C
D00619,Cl.COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
D01111,CC(C)[C@@H]1CC[C@H](CC1)C(=O)N[C@H](Cc2ccccc2)C(=O)O
D01295,C(\C=C\c1ccccc1)N2CCN(CC2)C(c3ccccc3)c4ccccc4
D01118,Cl.CCN(CC)C(C)CN1c2ccccc2Sc3ccccc13
D00451,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
D04790,CCCCC(F)(F)[C@@]1(O)CC[C@@H]2[C@@H](CCCCCCC(=O)O)C(=O)C[C@H]2O1
D00618,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OCC(C)C)C
D00349,COC(=O)C1=C(C)NC(=C(C1c2cccc3nonc23)C(=O)OC(C)C)C
D00651,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc3ccccc3)NS2(=O)=O
D00456,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C
D00345,CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N
D00136,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
D00611,Cl.CNC1(C)C2CCC(C2)C1(C)C
D00617,Cl.COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C
D00340,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl
D00615,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C.OS(=O)(=O)c3ccccc3
D01242,CC(CN1c2ccccc2Sc3ccccc13)N(C)C.CN4C(=O)N(C)c5nc(Cl)[nH]c5C4=O
D00519,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
D00697,CCOC(=O)c1ncn2c1CN(C)C(=O)c3cc(F)ccc23
D01350,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O.CN[C@H]4[C@H](O)[C@@H](O)[C@H](CO)O[C@H]4O[C@H]5[C@H](O[C@H]6[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]6N=C(N)N)O[C@@H](C)[C@]5(O)C=O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O
D02262,O.O.COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1.COc5ccc6nccc([C@@H](O)[C@@H]7C[C@@H]8CCN7C[C@@H]8C=C)c6c5.OS(=O)(=O)O
D00694,[K+].O[K].[O-]C(=O)C1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O
D00741,Cl.CCCCNc1ccc(cc1)C(=O)OCCN(C)C
D00740,Cl.CCN(CC)CCOC(=O)c1ccc(N)cc1
D00512,OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3
D00513,CC(C)NCC(O)COc1cccc2[nH]ccc12
D03365,CN1CCC[C@H]1c2cccnc2
D02207,O.O.O.O.O.Cl.[Cl-].COc1cc2CC[N+](C)(C)[C@@H]3Cc4ccc(O)c(Oc5cc6[C@H](Cc7ccc(Oc(c1O)c23)cc7)N(C)CCc6cc5OC)c4
D02204,[Br-].[Br-].C[N+](C)(C)CCCCCC[N+](C)(C)C
D01969,Cl.COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2cc(OC)c(OC)c(OC)c2)cc1OC
D02360,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13
D02362,Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3
D00616,Cl.COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C
D00274,COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC
D00658,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl
D01287,Cl.CCCCN1CCCC[C@H]1C(=O)Nc2c(C)cccc2C
D00775,Nc1nc2ccc(OC(F)(F)F)cc2s1
D00504,NC(=O)NC(=O)Cc1ccccc1
D00771,Clc1ccc2OC(=O)Nc2c1
D00464,OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O
D00373,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1
D00779,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4
D02173,Br.COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24
D02272,O.O.COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1.COc5ccc6nccc([C@H](O)[C@H]7C[C@@H]8CCN7C[C@@H]8C=C)c6c5.OS(=O)(=O)O
D01253,CN1C(=O)CC(=O)N(c2ccccc2)c3cc(Cl)ccc13
D02566,CNCCC[C@@]12CC[C@@H](c3ccccc13)c4ccccc24
D01599,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
D02261,O.O.Cl.COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1
D03742,COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1
D00480,Cl.CC(CN1c2ccccc2Sc3ccccc13)N(C)C
D03180,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
D06106,CCCC(C)C1(CC=C)C(=O)NC(=NC1=O)S
D00367,OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4
D00364,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1
D00761,[I-].[I-].COc1ccc2C[C@@H]3c4c(CC[N+]3(C)C)cc(OC)c(OC)c4Oc5ccc(C[C@H]6c7cc(Oc1c2)c(OC)cc7CC[N+]6(C)C)cc5
D00760,[Cl-].[Cl-].COc1cc(CC2c3c(CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]4(C)CCc5cc(OC)c(OC)c(OC)c5C4Cc6cc(OC)c(OC)c(OC)c6)cc(OC)c(OC)c3OC)cc(OC)c1OC
D01768,Cl.CCCCOc1cc(ccc1N)C(=O)OCCN(CC)CC
D00574,CCC1(CCC(=O)NC1=O)c2ccc(N)cc2
D01071,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
D05077,CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN4CCOCC4)c2c1
D00477,Cl.CCN(CC)CCNC(=O)c1ccc(N)cc1
D00474,CCC1(C(=O)NCNC1=O)c2ccccc2
D01275,Cl.COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
D00678,O.O.Cl.Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C
D00495,CCC1(C)OC(=O)N(C)C1=O
D02041,Cl.CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)c3c[nH]c4ccccc34
D04999,COC(=O)C(C1CCCCN1)c2ccccc2
D00499,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
D00960,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N
D00963,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
D00252,NC(=O)N1c2ccccc2C=Cc3ccccc13
D03826,CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1.CNC(=O)Oc4ccc5N(C)[C@H]6N(C)CC[C@@]6(C)c5c4.OS(=O)(=O)O
D00560,Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5
D00563,CN1CCN2C(C1)c3ccccc3Cc4cccnc24
D00798,Cl.CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1
D00799,Cl.Cl.CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
D00791,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
D00648,CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1.CCCCCCCN(CC)CCCC(O)c2ccc(NS(=O)(=O)C)cc2.OC(=O)\C=C\C(=O)O
D00649,O.O.Cl.NC(=N)NC(=O)c1nc(Cl)c(N)nc1N
D02356,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
D00711,Cl.CNC1(CCCCC1=O)c2ccccc2Cl
D00392,CN1C(=O)OC(C)(C)C1=O
D00642,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
D00394,CC(CN(C)C)CN1c2ccccc2CCc3ccccc13
D00647,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2
D02347,[O-][N+](=O)c1ccc(cc1)c2oc(\C=N\N3CC(=O)NC3=O)cc2
D05453,Cl.C1CCN(CC1)C2(CCCCC2)c3ccccc3
D02237,NC(=N)NCCN1CCCCCCC1.NC(=N)NCCN2CCCCCCC2.OS(=O)(=O)O
D04985,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
D01799,Clc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCC2
D05458,CC(C)(N)Cc1ccccc1
D00640,Cl.CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2
D00303,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C
D01603,CN\C(=N/C)\NCc1ccccc1.CN\C(=N/C)\NCc2ccccc2.OS(=O)(=O)O
D00656,CN1C(CCl)Nc2cc(Cl)c(cc2S1(=O)=O)S(=O)(=O)N
D00654,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1C(F)(F)F
D00765,[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCOCC5)[N+]6(CC=C)CCCC6
D00228,Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1
D00650,NS(=O)(=O)c1cc2c(NC(Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F
D00293,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
D00225,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12
D00550,Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12
D00552,CCOC(=O)c1ccc(N)cc1
D00553,CCCNC(C)C(=O)Nc1ccccc1C
D00704,CCC(O)(\C=C\Cl)C#C
D01828,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O
D03450,OC(=O)CC(O)(CC(=O)O)C(=O)O.O=C(OCCN1CCCCCC1)C(C2CCCCC2)c3ccsc3
D00418,Nc1cc(nc(N)[n+]1[O-])N2CCCCC2
D01256,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C3CC4CC3C=C4)cc1Cl
D00319,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C
D00380,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
D00809,Cl.CN(C)CCC=C1c2ccccc2CCc3ccccc13
D00709,CC[C@H](N1CCCC1=O)C(=O)N
D00708,CCN1C(=O)NC(C1=O)c2ccccc2
D00338,FC(F)(F)CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
D00335,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3
D00336,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3
D00331,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl
D00332,NCC1(CC(=O)O)CCCCC1
D00227,CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN
D02461,O.CCN(CC)CCOC(=O)c1ccc(N)cc1.CC2(C)S[C@@H]3[C@H](NC(=O)Cc4ccccc4)C(=O)N3[C@H]2C(=O)O
D00549,CC(C)c1cccc(C(C)C)c1O
D00548,CCOC(=O)c1cncn1[C@H](C)c2ccccc2
D00035,OC(=O)[C@@H]1CCCN1
D00543,FC(F)OC(F)(F)C(F)Cl
D00542,FC(F)(F)C(Cl)Br
D02630,OC1(CCN(CCCC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)c4ccc(Cl)c(c4)C(F)(F)F
D00547,FCOC(C(F)(F)F)C(F)(F)F
D02485,Cl.CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c3cc(ccc13)C(F)(F)F
D00545,FC(F)OC(Cl)C(F)(F)F
D00544,COC(F)(F)C(Cl)Cl
D00732,Cl.CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
D05024,Cl.Cl.COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C
D00735,Cl.CCCCOc1ccc(cc1)C(=O)CCN2CCCCC2
D00816,Cl.CNCCC=C1c2ccccc2CCc3ccccc13
D00738,Cl.CN1CCCCC1C(=O)Nc2c(C)cccc2C
D00739,Cl.CCCCOc1ccc(OCCCN2CCOCC2)cc1
D01243,Cl.CCCNC(C)C(=O)Nc1ccccc1C
D00733,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
D00379,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2
D00539,CCC1(C)CC(=O)NC1=O
D00812,Cl.CNCCCN1c2ccccc2CCc3ccccc13
D00329,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c3cc(Cl)ccc13
D00537,CC1(C)O[C@@H]2CO[C@@]3(COS(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1
D00437,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C
D00326,CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2
D01575,[Cl-].[Cl-].Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]3c(C)cc(N)c4ccccc34
D00631,O.Cl.CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3
D00633,Cl.NCCc1ccc(O)c(O)c1
D02088,Cl.CC(N)C(=O)Nc1c(C)cccc1C
D03037,Cl.Cl.CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1
D00636,Cl.CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3
D00639,Cl.CC(N)COc1c(C)cccc1C
D00638,CC(=O)O.FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2
D02086,Cl.CCN(CC)CC(=O)Nc1c(C)cccc1C
D02087,Cl.CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN4CCOCC4)c2c1
D00629,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC)C
D03878,C[C@]12N[C@H](Cc3ccccc13)c4ccccc24.OC(=O)\C=C/C(=O)O
D00438,COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC(C)C)C
D00283,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
D00538,OS(=N)(=O)Cc1noc2ccccc12
D00234,COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1
D00536,NC(=O)OCC(COC(=O)N)c1ccccc1
D00726,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
D00533,NC(=O)N1c2ccccc2CC(=O)c3ccccc13
D00530,CCN(C(=O)C)c1cccc(c1)c2ccnc3c(cnn23)C#N
D00823,Cl.CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2
